step,train_loss,val_loss,lr
10,6.3741,,1.10e-05
20,4.8647,,1.20e-05
30,3.7764,,1.30e-05
40,3.2228,,1.40e-05
50,2.9990,,1.50e-05
60,2.8799,,1.59e-05
70,2.7219,,1.69e-05
80,2.4735,,1.79e-05
90,2.3509,,1.89e-05
100,2.2356,,1.99e-05
110,2.1451,,2.09e-05
120,2.0309,,2.19e-05
130,1.9656,,2.29e-05
140,1.8905,,2.39e-05
150,1.8123,,2.49e-05
160,1.7330,,2.58e-05
170,1.6617,,2.68e-05
180,1.5867,,2.78e-05
190,1.5330,,2.88e-05
200,1.4715,,2.98e-05
210,1.4305,,3.08e-05
220,1.3972,,3.18e-05
230,1.3480,,3.28e-05
240,1.3188,,3.38e-05
250,1.2886,,3.48e-05
260,1.2511,,3.57e-05
270,1.2149,,3.67e-05
280,1.1911,,3.77e-05
290,1.1575,,3.87e-05
300,1.1303,,3.97e-05
310,1.1213,,4.07e-05
320,1.1043,,4.17e-05
330,1.0812,,4.27e-05
340,1.0553,,4.37e-05
350,1.0439,,4.47e-05
360,1.0263,,4.56e-05
370,1.0127,,4.66e-05
380,0.9983,,4.76e-05
390,0.9778,,4.86e-05
400,0.9672,,4.96e-05
410,0.9545,,5.06e-05
420,0.9411,,5.16e-05
430,0.9297,,5.26e-05
440,0.9174,,5.36e-05
450,0.9053,,5.46e-05
460,0.8922,,5.55e-05
470,0.8781,,5.65e-05
480,0.8723,,5.75e-05
490,0.8577,,5.85e-05
500,0.8458,,5.95e-05
510,0.8394,,6.05e-05
520,0.8308,,6.15e-05
530,0.8184,,6.25e-05
540,0.8079,,6.35e-05
550,0.8001,,6.45e-05
560,0.7945,,6.54e-05
570,0.7919,,6.64e-05
580,0.7839,,6.74e-05
590,0.7739,,6.84e-05
600,0.7652,,6.94e-05
610,0.7561,,7.04e-05
620,0.7506,,7.14e-05
630,0.7427,,7.24e-05
640,0.7359,,7.34e-05
650,0.7287,,7.44e-05
660,0.7222,,7.53e-05
670,0.7159,,7.63e-05
680,0.7077,,7.73e-05
690,0.7016,,7.83e-05
700,0.6984,,7.93e-05
710,0.6922,,8.03e-05
720,0.6846,,8.13e-05
730,0.6778,,8.23e-05
740,0.6704,,8.33e-05
750,0.6648,,8.43e-05
760,0.6586,,8.52e-05
770,0.6589,,8.62e-05
780,0.6554,,8.72e-05
790,0.6526,,8.82e-05
800,0.6480,,8.92e-05
810,0.6451,,9.02e-05
820,0.6432,,9.12e-05
830,0.6379,,9.22e-05
840,0.6318,,9.32e-05
850,0.6258,,9.42e-05
860,0.6203,,9.51e-05
870,0.6194,,9.61e-05
880,0.6146,,9.71e-05
890,0.6122,,9.81e-05
900,0.6072,,9.91e-05
910,0.6032,,1.00e-04
920,0.5980,,1.00e-04
930,0.5942,,1.00e-04
940,0.5905,,1.00e-04
950,0.5888,,1.00e-04
960,0.5864,,1.00e-04
970,0.5835,,1.00e-04
980,0.5826,,1.00e-04
990,0.5804,,1.00e-04
1000,0.5787,,1.00e-04
1000,,0.2524,
1010,0.5764,,1.00e-04
1020,0.5729,,1.00e-04
1030,0.5693,,9.99e-05
1040,0.5661,,9.99e-05
1050,0.5639,,9.99e-05
1060,0.5605,,9.99e-05
1070,0.5567,,9.99e-05
1080,0.5532,,9.99e-05
1090,0.5498,,9.99e-05
1100,0.5476,,9.99e-05
1110,0.5439,,9.99e-05
1120,0.5402,,9.98e-05
1130,0.5363,,9.98e-05
1140,0.5340,,9.98e-05
1150,0.5322,,9.98e-05
1160,0.5310,,9.98e-05
1170,0.5289,,9.97e-05
1180,0.5270,,9.97e-05
1190,0.5236,,9.97e-05
1200,0.5216,,9.97e-05
1210,0.5186,,9.97e-05
1220,0.5178,,9.96e-05
1230,0.5161,,9.96e-05
1240,0.5160,,9.96e-05
1250,0.5167,,9.96e-05
1260,0.5137,,9.95e-05
1270,0.5151,,9.95e-05
1280,0.5128,,9.95e-05
1290,0.5114,,9.95e-05
1300,0.5092,,9.94e-05
1310,0.5062,,9.94e-05
1320,0.5044,,9.94e-05
1330,0.5015,,9.93e-05
1340,0.4999,,9.93e-05
1350,0.4982,,9.93e-05
1360,0.4953,,9.93e-05
1370,0.4946,,9.92e-05
1380,0.4956,,9.92e-05
1390,0.4932,,9.92e-05
1400,0.4906,,9.91e-05
1410,0.4884,,9.91e-05
1420,0.4857,,9.90e-05
1430,0.4834,,9.90e-05
1440,0.4806,,9.90e-05
1450,0.4782,,9.89e-05
1460,0.4762,,9.89e-05
1470,0.4756,,9.88e-05
1480,0.4734,,9.88e-05
1490,0.4713,,9.88e-05
1500,0.4691,,9.87e-05
1510,0.4683,,9.87e-05
1520,0.4667,,9.86e-05
